"","url","catalogNumber","family","subfamily","genus","specificEpithet","scientific_name","typeStatus","stateProvince","country","dateIdentified","habitat","minimumElevationInMeters","geojson.type","decimal_latitude","decimal_longitude"
"1","http://antweb.org/api/v2/?occurrenceId=CAS:ANTWEB:60025","60025","formicidae","myrmicinae","Crematogaster","curvispinosa","crematogaster curvispinosa","","Heredia","","1995-07-06","Huertos plots Cordia alliodora","50","point","10.43333","-84.01667"
"2","http://antweb.org/api/v2/?occurrenceId=CAS:ANTWEB:alas188691","alas188691","formicidae","myrmicinae","Crematogaster","curvispinosa","crematogaster curvispinosa","","Heredia","","2000-06-06","Sendero Jaguar Hojarasca","50","point","10.42118","-84.02531"
"3","http://antweb.org/api/v2/?occurrenceId=CAS:ANTWEB:alas188692","alas188692","formicidae","myrmicinae","Crematogaster","sotobosque","crematogaster sotobosque","","Heredia","","2000-06-06","Sendero Hartshorn Hojarasca","50","point","10.421868","-84.01035"
"4","http://antweb.org/api/v2/?occurrenceId=CAS:ANTWEB:alas188693","alas188693","formicidae","myrmicinae","Crematogaster","sotobosque","crematogaster sotobosque","","Heredia","","2000-06-06","Lindero Sur Hojarasca","50","point","10.409556","-84.021255"
"5","http://antweb.org/api/v2/?occurrenceId=CAS:ANTWEB:alas378518","alas378518","formicidae","myrmicinae","Crematogaster","brasiliensis","crematogaster brasiliensis","","Heredia","","2004-01-01","LOC","50","point","10.431847","-84.01496"
"6","http://antweb.org/api/v2/?occurrenceId=CAS:ANTWEB:alas378519","alas378519","formicidae","myrmicinae","Crematogaster","carinata","crematogaster carinata","","Heredia","","2004-01-01","","50","point","10.4214","-84.01087"
"7","http://antweb.org/api/v2/?occurrenceId=CAS:ANTWEB:alas378520","alas378520","formicidae","myrmicinae","Crematogaster","carinata","crematogaster carinata","","Heredia","","2004-01-01","CES 350","50","point","10.432141","-84.00946"
"8","http://antweb.org/api/v2/?occurrenceId=CAS:ANTWEB:alas378521","alas378521","formicidae","myrmicinae","Crematogaster","carinata","crematogaster carinata","","Heredia","","2004-01-01","","50","point","10.43577","-84.01226"
"9","http://antweb.org/api/v2/?occurrenceId=CAS:ANTWEB:alas378522","alas378522","formicidae","myrmicinae","Crematogaster","carinata","crematogaster carinata","","Heredia","","2004-01-01","CC1500m. Copa de arbol","50","point","10.412838","-84.01281"
"10","http://antweb.org/api/v2/?occurrenceId=CAS:ANTWEB:alas378523","alas378523","formicidae","myrmicinae","Crematogaster","carinata","crematogaster carinata","","Heredia","","2004-01-01","","50","point","10.413376","-84.01227"
